sample_id,pH,TDS,temperature,turbidity,sugar_pct,citric_acid_pct,ascorbic_acid_pct,notes
LIT0001,5.71,4340.7,17.3,13.0,13.1766,0.0705,0.000925,Literature_Brix_TDS_t18.6h
LIT0002,5.86,3267.1,25.0,17.5,5.0858,0.0638,0.000881,Literature_Brix_TDS_t3.1h
LIT0003,5.71,3569.2,26.6,13.7,8.9919,0.0752,0.000941,Literature_Brix_TDS_t13.3h
LIT0004,5.68,4333.1,18.2,20.0,13.5634,0.0805,0.000979,Literature_Brix_TDS_t18.7h
LIT0005,5.84,3176.2,17.8,11.2,5.6927,0.0601,0.001002,Literature_Brix_TDS_t7.8h
LIT0006,5.75,3144.7,21.4,16.4,8.0588,0.0713,0.000968,Literature_Brix_TDS_t10.5h
LIT0007,5.84,3174.7,25.9,12.3,5.6234,0.0614,0.000899,Literature_Brix_TDS_t4.8h
LIT0008,5.87,3054.2,23.9,11.8,5.9426,0.0621,0.000997,Literature_Brix_TDS_t3.4h
LIT0009,5.68,3435.8,19.0,15.7,9.6329,0.0666,0.000911,Literature_Brix_TDS_t13.4h
LIT0010,5.88,3199.6,23.8,13.1,5.3489,0.0637,0.000925,Literature_Brix_TDS_t1.4h
LIT0011,5.62,4375.3,26.1,20.5,14.631,0.0729,0.001113,Literature_Brix_TDS_t19.5h
LIT0012,5.81,3234.2,20.2,12.9,5.6132,0.0583,0.000834,Literature_Brix_TDS_t3.7h
LIT0013,5.77,3212.6,19.7,18.1,5.005,0.0657,0.001009,Literature_Brix_TDS_t2.8h
LIT0014,5.72,3125.2,22.4,8.7,8.0166,0.0715,0.000969,Literature_Brix_TDS_t10.8h
LIT0015,5.77,3155.6,22.0,13.5,5.0242,0.0732,0.000931,Literature_Brix_TDS_t4.2h
LIT0016,5.91,3201.1,20.6,14.1,5.3161,0.0659,0.000855,Literature_Brix_TDS_t2.0h
LIT0017,5.72,3102.0,24.3,12.5,5.1875,0.0635,0.000869,Literature_Brix_TDS_t4.1h
LIT0018,5.83,4527.1,29.1,14.3,14.1236,0.0553,0.000971,Literature_Brix_TDS_t18.8h
LIT0019,5.76,3027.1,27.6,15.3,5.8493,0.0669,0.000867,Literature_Brix_TDS_t8.0h
LIT0020,5.93,3161.0,26.8,16.8,5.1555,0.058,0.000855,Literature_Brix_TDS_t2.6h
LIT0021,5.79,3444.2,27.3,8.7,4.8584,0.0695,0.000981,Literature_Brix_TDS_t0.9h
LIT0022,5.75,3266.6,16.6,11.2,9.0761,0.063,0.000964,Literature_Brix_TDS_t12.4h
LIT0023,5.68,4129.9,20.4,18.9,12.7601,0.0701,0.001095,Literature_Brix_TDS_t18.0h
LIT0024,5.75,3193.6,19.4,19.4,5.8209,0.0748,0.000936,Literature_Brix_TDS_t2.3h
LIT0025,5.75,3013.4,26.9,11.9,6.0493,0.0679,0.000937,Literature_Brix_TDS_t4.3h
LIT0026,5.89,3206.7,17.7,11.9,5.5344,0.0574,0.000852,Literature_Brix_TDS_t0.3h
LIT0027,5.72,3250.0,17.8,11.7,5.4824,0.0683,0.00103,Literature_Brix_TDS_t4.8h
LIT0028,5.64,3770.1,16.3,18.3,10.4453,0.0745,0.00099,Literature_Brix_TDS_t15.9h
LIT0029,5.93,3460.0,29.1,12.0,5.5009,0.0541,0.000903,Literature_Brix_TDS_t3.4h
LIT0030,5.81,3107.2,19.3,11.5,5.4756,0.0608,0.000908,Literature_Brix_TDS_t0.4h
LIT0031,5.65,3137.7,22.4,23.5,7.1287,0.0682,0.000973,Literature_Brix_TDS_t9.0h
LIT0032,5.62,4289.0,18.0,25.4,15.9635,0.0709,0.001092,Literature_Brix_TDS_t19.6h
LIT0033,5.61,5138.4,17.6,18.4,16.9667,0.0744,0.001153,Literature_Brix_TDS_t22.1h
LIT0034,5.85,3305.5,20.5,12.6,5.3252,0.0629,0.000892,Literature_Brix_TDS_t1.3h
LIT0035,5.93,3438.1,21.8,9.3,5.0964,0.0556,0.001045,Literature_Brix_TDS_t1.0h
LIT0036,5.89,2975.1,28.6,8.0,5.3239,0.0585,0.000971,Literature_Brix_TDS_t1.2h
LIT0037,5.67,3715.0,23.2,23.0,9.7526,0.0618,0.000998,Literature_Brix_TDS_t15.4h
LIT0038,5.58,3674.1,21.8,24.0,9.941,0.0708,0.001254,Literature_Brix_TDS_t15.3h
LIT0039,5.75,2975.4,29.3,17.0,5.961,0.0751,0.001044,Literature_Brix_TDS_t7.9h
LIT0040,5.77,3459.0,23.5,16.5,9.823,0.0644,0.001029,Literature_Brix_TDS_t12.9h
LIT0041,5.87,3116.4,17.3,20.9,5.881,0.0645,0.000824,Literature_Brix_TDS_t4.9h
LIT0042,5.91,3096.6,27.0,10.3,5.002,0.0559,0.000953,Literature_Brix_TDS_t3.3h
LIT0043,5.77,3607.7,24.0,8.0,9.3056,0.0681,0.000956,Literature_Brix_TDS_t14.2h
LIT0044,5.61,4109.2,17.7,12.1,14.9407,0.0812,0.001158,Literature_Brix_TDS_t19.2h
LIT0045,5.81,3300.0,28.6,16.3,7.3351,0.0659,0.000881,Literature_Brix_TDS_t10.0h
LIT0046,5.83,3151.7,22.1,14.0,5.8899,0.0696,0.000891,Literature_Brix_TDS_t7.5h
LIT0047,5.62,5403.2,29.8,22.9,17.1129,0.0786,0.001169,Literature_Brix_TDS_t22.5h
LIT0048,5.73,4393.7,25.6,19.2,15.6862,0.0742,0.000822,Literature_Brix_TDS_t20.4h
LIT0049,5.8,3016.1,28.9,15.5,5.3256,0.0596,0.000765,Literature_Brix_TDS_t7.1h
LIT0050,5.67,4912.9,30.0,16.4,16.0229,0.0728,0.001081,Literature_Brix_TDS_t21.1h
LIT0051,5.61,4912.3,26.9,22.5,16.641,0.0737,0.00117,Literature_Brix_TDS_t21.5h
LIT0052,5.72,3288.7,27.2,8.0,5.0673,0.0602,0.000896,Literature_Brix_TDS_t0.9h
LIT0053,5.72,4387.8,27.7,18.1,14.3321,0.0753,0.000957,Literature_Brix_TDS_t19.2h
LIT0054,5.58,4461.2,19.8,22.0,15.5589,0.0839,0.001076,Literature_Brix_TDS_t20.4h
LIT0055,5.83,3240.6,25.9,16.1,4.7993,0.0614,0.000907,Literature_Brix_TDS_t1.3h
LIT0056,5.59,5695.6,24.0,21.3,17.4714,0.0817,0.001141,Literature_Brix_TDS_t23.5h
LIT0057,5.77,3494.3,18.1,16.1,9.8416,0.0682,0.001106,Literature_Brix_TDS_t13.9h
LIT0058,5.88,3183.5,22.0,14.3,5.3819,0.0607,0.000975,Literature_Brix_TDS_t2.9h
LIT0059,5.68,2941.8,16.5,14.1,6.8017,0.0795,0.001093,Literature_Brix_TDS_t9.8h
LIT0060,5.69,3468.5,25.1,19.1,9.5564,0.0699,0.001073,Literature_Brix_TDS_t13.7h
LIT0061,5.76,3529.4,26.3,15.8,7.7677,0.0701,0.000945,Literature_Brix_TDS_t10.4h
LIT0062,5.67,3412.5,22.9,18.6,8.8488,0.075,0.001114,Literature_Brix_TDS_t12.5h
LIT0063,5.82,3237.8,20.4,8.0,5.0665,0.0631,0.000791,Literature_Brix_TDS_t1.3h
LIT0064,5.59,4788.5,17.7,8.0,16.3256,0.0743,0.001364,Literature_Brix_TDS_t20.6h
LIT0065,5.56,4298.7,21.4,18.6,13.2836,0.0778,0.001288,Literature_Brix_TDS_t18.5h
LIT0066,5.77,3292.7,29.8,12.3,9.3844,0.0633,0.001057,Literature_Brix_TDS_t12.6h
LIT0067,5.9,3104.4,26.6,14.2,5.9161,0.0663,0.000921,Literature_Brix_TDS_t3.4h
LIT0068,5.71,3200.0,20.1,11.3,5.3858,0.0747,0.000758,Literature_Brix_TDS_t4.3h
LIT0069,5.84,3075.6,25.1,11.7,4.6621,0.0624,0.000966,Literature_Brix_TDS_t2.0h
LIT0070,5.78,3219.4,22.8,16.1,6.8463,0.0745,0.000943,Literature_Brix_TDS_t8.8h
