pH,temperature_C,citric_percent_wv
5.564,30.02,0.07491
5.789,29.0,0.06043
5.239,27.01,0.10291
5.062,18.89,0.11719
5.565,31.59,0.07209
5.028,18.61,0.11859
5.564,22.56,0.07361
4.995,24.66,0.11253
5.303,29.65,0.09396
5.152,19.96,0.11113
5.643,27.87,0.07099
5.404,19.6,0.08513
5.398,26.89,0.0872
5.12,24.11,0.10863
5.631,18.82,0.07199
5.485,28.97,0.08089
5.615,18.32,0.07192
5.289,25.01,0.09449
5.287,22.22,0.09512
4.821,31.47,0.12101
5.144,28.9,0.10925
5.061,30.64,0.1083
5.146,20.47,0.1031
5.566,26.78,0.08109
4.877,18.58,0.13049
5.003,26.23,0.11594
5.371,26.27,0.08404
5.343,19.16,0.09954
5.711,24.63,0.06463
5.345,18.3,0.09434
4.897,19.52,0.11992
5.569,19.51,0.07656
4.782,23.19,0.12546
5.186,22.07,0.10538
5.767,18.63,0.06179
5.773,30.47,0.06469
5.156,27.26,0.1071
5.589,31.12,0.06925
5.649,20.51,0.07578
5.167,31.61,0.10238
4.839,19.85,0.13347
5.322,26.14,0.08658
5.499,19.83,0.07722
5.359,31.38,0.08813
4.806,26.88,0.1238
5.362,26.34,0.09339
5.29,18.25,0.09873
5.54,25.43,0.06888
5.257,27.13,0.09394
5.021,28.44,0.11417
4.833,20.05,0.13233
4.974,20.32,0.11958
4.899,18.78,0.12446
5.476,23.51,0.08609
5.666,18.61,0.06893
5.432,18.69,0.08455
4.849,19.39,0.13145
5.768,28.91,0.06042
4.922,25.2,0.12356
5.231,21.73,0.09937
5.328,23.15,0.09996
5.175,22.16,0.10468
5.376,25.5,0.09658
5.621,26.86,0.06911
5.047,30.05,0.11172
4.956,19.18,0.12052
5.748,26.31,0.06405
5.759,26.26,0.06091
5.435,24.52,0.08718
5.693,26.39,0.06987
4.969,27.21,0.12211
5.554,30.58,0.07865
5.195,20.21,0.10395
5.277,28.22,0.09152
5.645,23.27,0.07768
5.784,29.91,0.06108
5.415,18.17,0.09095
5.061,24.19,0.10803
5.556,31.96,0.07125
5.69,31.99,0.06585
4.886,18.41,0.12389
5.641,30.75,0.07327
4.805,26.48,0.12491
5.645,29.21,0.06702
5.589,18.56,0.07782
5.439,20.17,0.07934
5.13,31.72,0.10128
5.478,30.38,0.07574
4.857,31.72,0.1174
5.491,20.03,0.0874
5.466,27.09,0.08795
5.372,24.64,0.09586
5.149,23.99,0.10919
5.22,21.05,0.09237
4.798,24.64,0.13062
5.396,27.07,0.0859
5.66,24.04,0.07305
5.419,30.41,0.08905
5.338,22.4,0.08715
5.681,21.93,0.0717
5.072,18.21,0.10177
5.245,26.41,0.09515
5.865,28.81,0.05986
5.531,26.97,0.0768
5.4,20.32,0.09284
5.367,31.86,0.08369
5.29,28.57,0.09796
4.914,30.7,0.11661
5.1,26.21,0.09894
5.034,26.93,0.10912
5.604,23.13,0.0769
5.69,28.76,0.07439
5.695,29.9,0.06041
5.252,26.83,0.0951
4.996,30.98,0.11357
5.44,21.89,0.08244
5.842,24.69,0.06041
5.511,28.95,0.07233
5.521,25.74,0.07654
5.801,28.27,0.05517
5.588,31.8,0.07209
5.23,19.19,0.09745
5.769,18.52,0.06113
4.91,27.99,0.12115
5.604,18.69,0.0757
5.681,25.2,0.0666
5.225,27.4,0.09383
5.285,22.19,0.0975
5.095,20.63,0.11164
5.583,31.98,0.07531
4.959,31.97,0.11192
5.216,24.96,0.0981
4.872,18.25,0.12539
5.165,31.43,0.09985
5.11,21.29,0.10398
5.275,26.27,0.0886
5.098,20.18,0.11997
5.615,24.14,0.07461
5.497,20.59,0.0833
5.477,25.18,0.08003
5.737,18.58,0.05706
5.293,22.38,0.09384
5.265,27.77,0.09541
5.259,18.02,0.10332
4.758,24.85,0.12529
5.571,21.64,0.07753
5.291,21.2,0.09385
4.78,27.96,0.1248
4.948,18.13,0.12455
4.812,21.38,0.12647
5.676,29.95,0.07306
5.569,21.56,0.07374
5.519,23.06,0.08168
5.646,21.03,0.0751
4.875,22.85,0.12507
5.629,28.34,0.07954
5.439,20.01,0.08277
5.305,18.06,0.09181
5.43,30.56,0.08316
5.458,18.71,0.08102
5.432,18.25,0.08533
5.696,26.55,0.0639
5.568,25.94,0.07865
5.27,18.17,0.09736
5.224,30.46,0.09403
4.905,20.5,0.12449
5.242,30.3,0.09055
5.47,28.96,0.07899
5.69,29.17,0.06369
5.566,31.71,0.07347
5.711,22.47,0.07696
5.289,31.1,0.09343
5.226,19.84,0.1029
5.2,21.41,0.09999
5.673,20.83,0.06423
5.313,18.63,0.09186
5.418,19.55,0.08257
5.597,30.62,0.07529
5.72,19.93,0.06783
4.817,26.63,0.11977
5.066,29.93,0.10555
5.064,23.67,0.10719
4.997,19.69,0.11519
5.048,20.51,0.11198
5.109,29.92,0.11252
4.998,20.26,0.10962
5.602,24.87,0.07289
5.281,19.76,0.09858
5.776,25.76,0.05916
4.837,30.84,0.12728
5.323,25.45,0.09364
5.499,24.56,0.07238
5.147,22.79,0.10214
5.602,20.97,0.07655
5.479,31.91,0.07864
5.305,20.13,0.09484
5.696,28.17,0.06718
5.461,31.3,0.07731
5.532,18.56,0.07714
5.609,25.44,0.07344
5.831,28.34,0.06198
5.561,30.7,0.07753
5.16,24.16,0.10296
5.492,27.28,0.08036
4.99,30.05,0.10873
4.914,19.94,0.12393
5.742,25.59,0.0589
5.455,26.76,0.08595
5.22,18.33,0.09906
5.431,31.1,0.08338
5.42,26.85,0.08439
5.75,29.81,0.0653
5.602,24.73,0.07007
5.503,21.61,0.08375
5.018,30.05,0.10829
5.188,29.75,0.10092
4.899,31.98,0.11463
5.377,31.06,0.09815
4.953,21.79,0.12082
4.842,20.47,0.12242
5.383,27.14,0.08722
4.903,31.67,0.12284
5.291,27.41,0.0918
5.625,23.83,0.07292
5.584,30.5,0.07064
4.87,25.47,0.11911
4.736,28.84,0.12741
5.645,20.06,0.06572
5.359,19.3,0.08917
5.085,25.06,0.10939
5.125,20.92,0.10225
4.856,20.45,0.12845
5.807,27.15,0.06215
5.754,30.22,0.06183
5.487,28.29,0.07662
5.726,18.37,0.07106
5.33,23.86,0.09127
5.413,21.79,0.08869
5.378,18.93,0.08822
5.727,20.41,0.06712
5.313,18.83,0.09998
4.97,21.0,0.11302
5.282,19.89,0.0962
5.162,23.0,0.10284
5.012,31.02,0.10288
4.818,19.71,0.12731
5.663,31.95,0.06614
5.133,26.08,0.10534
5.739,24.91,0.05445
5.206,19.79,0.10195
4.944,26.25,0.12618
5.277,30.97,0.08777
5.201,25.95,0.10087
5.376,22.84,0.08737
5.011,23.45,0.11983
5.585,29.58,0.07529
5.57,31.24,0.07675
5.425,18.54,0.09232
4.846,29.93,0.11931
4.782,22.63,0.13072
5.418,20.25,0.08655
5.418,31.49,0.08355
5.441,23.24,0.0773
5.32,31.75,0.086
5.193,19.66,0.10496
5.135,30.24,0.10439
5.358,20.29,0.09297
5.471,24.46,0.08393
4.968,22.82,0.11664
5.262,31.64,0.09641
5.683,24.01,0.06927
5.341,31.42,0.08665
5.128,18.63,0.11024
4.94,29.69,0.11974
5.714,23.56,0.0643
5.812,20.65,0.06408
4.932,27.91,0.11649
5.602,19.78,0.07202
5.403,31.61,0.08876
5.295,23.06,0.09449
4.874,24.25,0.12216
4.827,20.88,0.13487
5.388,31.68,0.09022
4.936,20.73,0.12181
5.385,20.83,0.08798
5.736,22.87,0.06618
5.32,23.3,0.09497
5.048,27.14,0.11165
5.075,20.36,0.11297
4.833,25.27,0.12103
5.751,24.69,0.05839
5.495,26.93,0.08464
5.304,24.66,0.09163
5.473,23.99,0.08109
