sample_id,sample_type,lab_ph,sensor_ph,lab_tds_ppm,sensor_tds_ppm,lab_turbidity_ntu,sensor_turbidity_ntu,lab_temperature_c,sensor_temperature_c,notes
LAB-001,Natural,,,,,,,,,Fill lab + E-Tongue readings after measurement
LAB-002,Natural,,,,,,,,,
LAB-003,Natural,,,,,,,,,
LAB-004,Natural,,,,,,,,,
LAB-005,Natural,,,,,,,,,
LAB-006,Natural,,,,,,,,,
LAB-007,Natural,,,,,,,,,
LAB-008,Natural,,,,,,,,,
LAB-009,Natural,,,,,,,,,
LAB-010,Natural,,,,,,,,,
LAB-011,Artificial,,,,,,,,,
LAB-012,Artificial,,,,,,,,,
LAB-013,Artificial,,,,,,,,,
LAB-014,Artificial,,,,,,,,,
LAB-015,Artificial,,,,,,,,,
LAB-016,Artificial,,,,,,,,,
LAB-017,Artificial,,,,,,,,,
LAB-018,Artificial,,,,,,,,,
LAB-019,Artificial,,,,,,,,,
LAB-020,Artificial,,,,,,,,,
