sample_id,pH,TDS,temperature,turbidity,sugar_pct,citric_acid_pct,ascorbic_acid_pct,notes
LIT0001,5.71,4340.7,17.3,13.0,13.1766,0.0034,0.0033,Literature_Brix_TDS_t18.6h
LIT0002,5.86,3267.1,25.0,17.5,5.0858,0.002,0.0013,Literature_Brix_TDS_t3.1h
LIT0003,5.71,3569.2,26.6,13.7,8.9919,0.0044,0.0036,Literature_Brix_TDS_t13.3h
LIT0004,5.68,4333.1,18.2,20.0,13.5634,0.0034,0.0039,Literature_Brix_TDS_t18.7h
LIT0005,5.84,3176.2,17.8,11.2,5.6927,0.001,0.0028,Literature_Brix_TDS_t7.8h
LIT0006,5.75,3144.7,21.4,16.4,8.0588,0.0031,0.001,Literature_Brix_TDS_t10.5h
LIT0007,5.84,3174.7,25.9,12.3,5.6234,0.0021,0.0025,Literature_Brix_TDS_t4.8h
LIT0008,5.87,3054.2,23.9,11.8,5.9426,0.0029,0.0024,Literature_Brix_TDS_t3.4h
LIT0009,5.68,3435.8,19.0,15.7,9.6329,0.0038,0.0013,Literature_Brix_TDS_t13.4h
LIT0010,5.88,3199.6,23.8,13.1,5.3489,0.003,0.0019,Literature_Brix_TDS_t1.4h
LIT0011,5.62,4375.3,26.1,20.5,14.631,0.0007,0.0023,Literature_Brix_TDS_t19.5h
LIT0012,5.81,3234.2,20.2,12.9,5.6132,0.0016,0.0008,Literature_Brix_TDS_t3.7h
LIT0013,5.77,3212.6,19.7,18.1,5.005,0.0035,0.003,Literature_Brix_TDS_t2.8h
LIT0014,5.72,3125.2,22.4,8.7,8.0166,0.0014,0.0025,Literature_Brix_TDS_t10.8h
LIT0015,5.77,3155.6,22.0,13.5,5.0242,0.0026,0.0028,Literature_Brix_TDS_t4.2h
LIT0016,5.91,3201.1,20.6,14.1,5.3161,0.0005,0.0026,Literature_Brix_TDS_t2.0h
LIT0017,5.72,3102.0,24.3,12.5,5.1875,0.0043,0.0022,Literature_Brix_TDS_t4.1h
LIT0018,5.83,4527.1,29.1,14.3,14.1236,0.0021,0.0014,Literature_Brix_TDS_t18.8h
LIT0019,5.76,3027.1,27.6,15.3,5.8493,0.0006,0.0024,Literature_Brix_TDS_t8.0h
LIT0020,5.93,3161.0,26.8,16.8,5.1555,0.0041,0.0013,Literature_Brix_TDS_t2.6h
LIT0021,5.79,3444.2,27.3,8.7,4.8584,0.0043,0.0015,Literature_Brix_TDS_t0.9h
LIT0022,5.75,3266.6,16.6,11.2,9.0761,0.0045,0.0036,Literature_Brix_TDS_t12.4h
LIT0023,5.68,4129.9,20.4,18.9,12.7601,0.003,0.0018,Literature_Brix_TDS_t18.0h
LIT0024,5.75,3193.6,19.4,19.4,5.8209,0.0037,0.001,Literature_Brix_TDS_t2.3h
LIT0025,5.75,3013.4,26.9,11.9,6.0493,0.0023,0.001,Literature_Brix_TDS_t4.3h
LIT0026,5.89,3206.7,17.7,11.9,5.5344,0.0031,0.0025,Literature_Brix_TDS_t0.3h
LIT0027,5.72,3250.0,17.8,11.7,5.4824,0.0014,0.0022,Literature_Brix_TDS_t4.8h
LIT0028,5.64,3770.1,16.3,18.3,10.4453,0.0029,0.0009,Literature_Brix_TDS_t15.9h
LIT0029,5.93,3460.0,29.1,12.0,5.5009,0.0021,0.0032,Literature_Brix_TDS_t3.4h
LIT0030,5.81,3107.2,19.3,11.5,5.4756,0.0027,0.0035,Literature_Brix_TDS_t0.4h
LIT0031,5.69,3504.1,28.1,11.0,9.4333,0.0011,0.0013,Literature_Brix_TDS_t14.5h
LIT0032,5.59,4481.9,24.3,19.3,13.2614,0.0037,0.0016,Literature_Brix_TDS_t17.9h
